AT,V,AP,RH,PE
29.3,69.48,1010.1,53.69,429.42
24.73,65.34,1015.42,52.8,446.92
25.17,68.08,1012.83,60.87,437.01
14.07,43.34,1015.79,86,463.77
24.16,66.05,1016.45,73.27,443.75
16.71,40.56,1019.48,49.88,467.46
25.61,47.43,1008.62,54.51,442.96
25.54,61.08,1013.14,71.15,447.06
20.28,48.78,1017.4,82.51,451.59
20.25,58.33,1013.25,68.92,448.93
12.69,40.75,1016.05,82.92,472.68
14.94,40,1017.69,65.43,456.41
23.51,48.98,1014.63,41.56,454.06
7.65,41.01,1024.31,97.17,475.89
28.45,69.23,1013.07,39.46,436.96
25.1,69.89,1015.42,85.81,434.98
19.12,44.85,1014.66,43.66,463.71
34.1,73.03,1014.01,41.26,437.65
25.34,64.27,1013.38,66.02,443.94
11.77,39.39,1012.9,85.8,478.51
17.34,45.01,1013.22,77.71,459.01
24.49,65.46,1015.77,44.95,445.27
12.11,38.28,1013.56,93.21,469.93
12.39,40.75,1016.05,81.91,475.96
7.87,41.17,1020.33,77.77,486.2
29.48,64.69,1006.44,64.46,435.09
19.05,67.32,1013.2,83.14,447.47
28.07,74.33,1012,71.69,428.87
20.62,68.12,1012.33,79.88,447.16
25.5,67.83,1009.29,61.29,437.49
16.2,65.46,1013.97,89.84,451.86
23.48,60.23,1011.91,79.48,437.44
13.32,41.7,1020.22,88.3,451.93
8.25,37.49,1009.02,81.09,480.38
10.42,39.35,1015.21,89.75,478.52
20.21,54.9,1016.82,66.56,454.23
13.22,40.83,1007.82,92.72,472.72
8.27,35.77,1015.3,73.36,478.13
13.98,40.24,1017.19,87.45,467.2
14.13,48.92,1011.72,78.06,464.17
19.82,46.63,1013.17,87.1,456.36
13.91,39.35,1014.69,75.51,469.02
24.22,61.86,1013.39,80.11,442.65
24.15,63.13,1013.8,92.1,440.15
25.41,48.06,1013.12,46.52,444.01
15.85,49.69,1015.48,88.65,464.72
17.89,44.78,1010.03,53.78,457.74
30.05,56.9,1007.02,41.96,437.55
23.74,52.3,1008.88,76.34,444.4
22.17,65.61,1014.71,70.91,449.91
8.22,41.82,1032.77,71.63,477.86
21.5,44.58,1016.87,57.58,460.2
12.19,44.63,1018.96,80.91,468.91
26.05,65.27,1013.69,56.46,440.75
22.82,69.94,1004.65,73.47,437.32
11.35,40.66,1016.86,96.4,466.55
11.02,39.96,1025.64,93.58,467.41
27.45,64.34,1007.12,65.87,440
18.11,44.85,1014.48,48.94,458.85
16.77,50.9,1013.24,84.4,459.91
28.32,68.12,1011.62,46.75,433.59
7.2,40.35,1011.83,95.59,484.9
22.49,62.96,1020.21,78.99,447.48
22.32,69.48,1011.1,77.86,439.49
10.02,52.75,1021.93,73.68,473.09
23.57,61.47,1009.27,84.17,435.82
31.09,59.57,1010.67,60.5,440.08
22.68,59.54,1004.32,95.44,437.96
34.51,73.03,1013.73,39.42,439.8
12.81,44.58,1016.49,80.76,475.5
18.78,63.09,1019.22,80.2,452.86
11.04,41.74,1022.6,77.51,477.2
17.38,43.14,1011.09,61.9,459.02
13.35,39.64,1010.1,93.3,471.69
8.32,39.64,1010.93,78.21,479.69
23.17,62.39,1008.04,89.42,439.29
9.46,36.66,1026.22,72.58,479.06
3.95,35.47,1017.36,84.88,488.64
25.08,61.02,1010.01,73.21,437.31
31.95,67.17,1007.11,61.58,432.6
6.86,40.02,1031.5,77.94,476.45
22.53,60.95,1015.12,75.1,449.43
9.17,40.67,1019.03,66.21,487.33
21.87,66.86,1013.01,57.39,453.62
9.6,41.03,1021.01,69.03,481.73
13.38,40.89,1010.48,92.55,472.15
17.8,43.72,1008.71,78.5,458.92
25.25,62.91,1012.51,62.64,443.14
32.21,68.3,1014.94,49.38,429.66
13.87,45.08,1024.42,81.69,465.48
13.07,45.51,1015.22,78.65,460.14
21.39,64.27,1011.71,95.39,445.12
25.93,66.56,1004.97,76.35,433.25
7.49,39.81,1018.2,85.96,483.71
17.9,67.71,1004.3,89.59,449.73
22.07,48.41,1008.71,81.29,444.01
29.56,71.14,1011.42,53.18,432.09
19.21,53.16,1013.18,81.64,454.01
31.25,68.94,1005.99,49.61,434.51
27.41,63.07,1011.5,55.3,445.02
11.8,45.09,1013.21,89.68,470.57
20.32,49.16,1007.47,91.12,443.59
24.98,60.32,1016.39,63.12,446.46
8.61,37.49,1009.35,82.62,477.13
16.55,41.66,1011.45,55.53,465.14
15.63,37.87,1020.4,74.77,465.28
27.35,77.95,1017.43,73.36,437.61
29.63,69.71,1009.04,67.26,435.27
24.42,65.94,1011.25,65.04,439.63
13.97,41.16,1020.88,74.88,459.84
